 lambda      Rs      Ts      As      Rp      Tp      Ap
786.3031 23.6860 69.1653  7.1488 23.6860 69.1653  7.1488
785.8048 24.0332 68.8265  7.1404 24.0332 68.8265  7.1404
785.3072 24.3791 68.4889  7.1321 24.3791 68.4889  7.1321
784.8101 24.7236 68.1525  7.1239 24.7236 68.1525  7.1239
784.3137 25.0668 67.8175  7.1158 25.0668 67.8175  7.1158
783.8180 25.4084 67.4838  7.1078 25.4084 67.4838  7.1078
783.3228 25.7486 67.1515  7.0999 25.7486 67.1515  7.0999
782.8283 26.0870 66.8208  7.0922 26.0870 66.8208  7.0922
782.3344 26.4238 66.4916  7.0846 26.4238 66.4916  7.0846
781.8411 26.7588 66.1640  7.0772 26.7588 66.1640  7.0772
781.3485 27.0921 65.8381  7.0699 27.0921 65.8381  7.0699
780.8564 27.4234 65.5139  7.0628 27.4234 65.5139  7.0628
780.3650 27.7528 65.1914  7.0558 27.7528 65.1914  7.0558
779.8742 28.0802 64.8708  7.0491 28.0802 64.8708  7.0491
779.3840 28.4055 64.5520  7.0425 28.4055 64.5520  7.0425
778.8945 28.7287 64.2352  7.0361 28.7287 64.2352  7.0361
778.4055 29.0498 63.9203  7.0300 29.0498 63.9203  7.0300
777.9172 29.3686 63.6074  7.0240 29.3686 63.6074  7.0240
777.4295 29.6852 63.2965  7.0183 29.6852 63.2965  7.0183
776.9424 29.9995 62.9877  7.0128 29.9995 62.9877  7.0128
776.4559 30.3114 62.6810  7.0075 30.3114 62.6810  7.0075
775.9700 30.6210 62.3765  7.0025 30.6210 62.3765  7.0025
775.4847 30.9281 62.0742  6.9977 30.9281 62.0742  6.9977
775.0000 31.2327 61.7741  6.9932 31.2327 61.7741  6.9932
774.5159 31.5348 61.4762  6.9890 31.5348 61.4762  6.9890
774.0325 31.8343 61.1807  6.9850 31.8343 61.1807  6.9850
773.5496 32.1312 60.8875  6.9813 32.1312 60.8875  6.9813
773.0673 32.4255 60.5966  6.9779 32.4255 60.5966  6.9779
772.5857 32.7171 60.3081  6.9748 32.7171 60.3081  6.9748
772.1046 33.0060 60.0219  6.9720 33.0060 60.0219  6.9720
771.6241 33.2922 59.7383  6.9695 33.2922 59.7383  6.9695
771.1443 33.5756 59.4570  6.9674 33.5756 59.4570  6.9674
770.6650 33.8562 59.1783  6.9655 33.8562 59.1783  6.9655
770.1863 34.1340 58.9020  6.9640 34.1340 58.9020  6.9640
769.7083 34.4089 58.6283  6.9628 34.4089 58.6283  6.9628
769.2308 34.6810 58.3571  6.9619 34.6810 58.3571  6.9619
768.7539 34.9501 58.0885  6.9614 34.9501 58.0885  6.9614
768.2776 35.2163 57.8224  6.9613 35.2163 57.8224  6.9613
767.8019 35.4796 57.5589  6.9615 35.4796 57.5589  6.9615
767.3267 35.7399 57.2981  6.9621 35.7399 57.2981  6.9621
766.8522 35.9972 57.0398  6.9630 35.9972 57.0398  6.9630
766.3782 36.2514 56.7842  6.9643 36.2514 56.7842  6.9643
765.9049 36.5027 56.5313  6.9661 36.5027 56.5313  6.9661
765.4321 36.7508 56.2810  6.9682 36.7508 56.2810  6.9682
764.9599 36.9959 56.0334  6.9707 36.9959 56.0334  6.9707
764.4883 37.2379 55.7885  6.9736 37.2379 55.7885  6.9736
764.0173 37.4768 55.5463  6.9769 37.4768 55.5463  6.9769
763.5468 37.7126 55.3068  6.9807 37.7126 55.3068  6.9807
763.0769 37.9452 55.0700  6.9848 37.9452 55.0700  6.9848
762.6076 38.1747 54.8359  6.9894 38.1747 54.8359  6.9894
762.1389 38.4009 54.6046  6.9945 38.4009 54.6046  6.9945
761.6708 38.6241 54.3760  6.9999 38.6241 54.3760  6.9999
761.2032 38.8440 54.1502  7.0059 38.8440 54.1502  7.0059
760.7362 39.0607 53.9271  7.0122 39.0607 53.9271  7.0122
760.2698 39.2742 53.7068  7.0191 39.2742 53.7068  7.0191
759.8039 39.4844 53.4892  7.0264 39.4844 53.4892  7.0264
759.3386 39.6914 53.2744  7.0342 39.6914 53.2744  7.0342
758.8739 39.8952 53.0624  7.0424 39.8952 53.0624  7.0424
758.4098 40.0957 52.8532  7.0512 40.0957 52.8532  7.0512
757.9462 40.2929 52.6467  7.0604 40.2929 52.6467  7.0604
757.4832 40.4868 52.4431  7.0701 40.4868 52.4431  7.0701
757.0208 40.6774 52.2422  7.0804 40.6774 52.2422  7.0804
