 lambda      Rs      Ts      As      Rp      Tp      Ap
791.3210 25.9610 67.1269  6.9122 25.9610 67.1269  6.9122
790.8163 26.3742 66.7334  6.8924 26.3742 66.7334  6.8924
790.3123 26.7858 66.3415  6.8727 26.7858 66.3415  6.8727
789.8089 27.1958 65.9512  6.8529 27.1958 65.9512  6.8529
789.3062 27.6041 65.5627  6.8332 27.6041 65.5627  6.8332
788.8041 28.0105 65.1759  6.8136 28.0105 65.1759  6.8136
788.3026 28.4150 64.7910  6.7939 28.4150 64.7910  6.7939
787.8018 28.8176 64.4081  6.7744 28.8176 64.4081  6.7744
787.3016 29.2180 64.0271  6.7549 29.2180 64.0271  6.7549
786.8020 29.6163 63.6482  6.7354 29.6163 63.6482  6.7354
786.3031 30.0124 63.2715  6.7161 30.0124 63.2715  6.7161
785.8048 30.4062 62.8970  6.6969 30.4062 62.8970  6.6969
785.3072 30.7976 62.5247  6.6777 30.7976 62.5247  6.6777
784.8101 31.1865 62.1548  6.6587 31.1865 62.1548  6.6587
784.3137 31.5730 61.7872  6.6398 31.5730 61.7872  6.6398
783.8180 31.9569 61.4221  6.6210 31.9569 61.4221  6.6210
783.3228 32.3382 61.0594  6.6024 32.3382 61.0594  6.6024
782.8283 32.7168 60.6993  6.5839 32.7168 60.6993  6.5839
782.3344 33.0927 60.3417  6.5656 33.0927 60.3417  6.5656
781.8411 33.4658 59.9868  6.5474 33.4658 59.9868  6.5474
781.3485 33.8360 59.6345  6.5294 33.8360 59.6345  6.5294
780.8564 34.2034 59.2850  6.5116 34.2034 59.2850  6.5116
780.3650 34.5679 58.9381  6.4940 34.5679 58.9381  6.4940
779.8742 34.9293 58.5941  6.4766 34.9293 58.5941  6.4766
779.3840 35.2878 58.2529  6.4593 35.2878 58.2529  6.4593
778.8945 35.6432 57.9145  6.4423 35.6432 57.9145  6.4423
778.4055 35.9955 57.5790  6.4255 35.9955 57.5790  6.4255
777.9172 36.3447 57.2464  6.4090 36.3447 57.2464  6.4090
777.4295 36.6907 56.9167  6.3926 36.6907 56.9167  6.3926
776.9424 37.0335 56.5900  6.3765 37.0335 56.5900  6.3765
776.4559 37.3731 56.2663  6.3606 37.3731 56.2663  6.3606
775.9700 37.7094 55.9456  6.3450 37.7094 55.9456  6.3450
775.4847 38.0425 55.6279  6.3297 38.0425 55.6279  6.3297
775.0000 38.3722 55.3132  6.3146 38.3722 55.3132  6.3146
774.5159 38.6986 55.0016  6.2998 38.6986 55.0016  6.2998
774.0325 39.0216 54.6931  6.2852 39.0216 54.6931  6.2852
773.5496 39.3413 54.3877  6.2709 39.3413 54.3877  6.2709
773.0673 39.6576 54.0855  6.2570 39.6576 54.0855  6.2570
772.5857 39.9704 53.7863  6.2433 39.9704 53.7863  6.2433
772.1046 40.2798 53.4903  6.2299 40.2798 53.4903  6.2299
771.6241 40.5858 53.1974  6.2168 40.5858 53.1974  6.2168
771.1443 40.8882 52.9077  6.2040 40.8882 52.9077  6.2040
770.6650 41.1872 52.6212  6.1916 41.1872 52.6212  6.1916
770.1863 41.4827 52.3378  6.1794 41.4827 52.3378  6.1794
769.7083 41.7747 52.0577  6.1676 41.7747 52.0577  6.1676
769.2308 42.0632 51.7807  6.1561 42.0632 51.7807  6.1561
768.7539 42.3481 51.5069  6.1450 42.3481 51.5069  6.1450
768.2776 42.6295 51.2363  6.1342 42.6295 51.2363  6.1342
767.8019 42.9073 50.9689  6.1237 42.9073 50.9689  6.1237
767.3267 43.1816 50.7047  6.1136 43.1816 50.7047  6.1136
766.8522 43.4523 50.4438  6.1039 43.4523 50.4438  6.1039
766.3782 43.7195 50.1860  6.0945 43.7195 50.1860  6.0945
765.9049 43.9831 49.9315  6.0855 43.9831 49.9315  6.0855
765.4321 44.2430 49.6801  6.0768 44.2430 49.6801  6.0768
764.9599 44.4994 49.4320  6.0686 44.4994 49.4320  6.0686
764.4883 44.7523 49.1871  6.0607 44.7523 49.1871  6.0607
