 lambda      Rs      Ts      As      Rp      Tp      Ap
792.8389 56.8349 37.8746  5.2905 56.8349 37.8746  5.2905
792.3323 57.2272 37.5313  5.2415 57.2272 37.5313  5.2415
791.8263 57.6123 37.1940  5.1938 57.6123 37.1940  5.1938
791.3210 57.9902 36.8626  5.1472 57.9902 36.8626  5.1472
790.8163 58.3611 36.5370  5.1019 58.3611 36.5370  5.1019
790.3123 58.7250 36.2172  5.0577 58.7250 36.2172  5.0577
789.8089 59.0822 35.9031  5.0147 59.0822 35.9031  5.0147
789.3062 59.4327 35.5945  4.9728 59.4327 35.5945  4.9728
788.8041 59.7766 35.2913  4.9320 59.7766 35.2913  4.9320
788.3026 60.1141 34.9936  4.8923 60.1141 34.9936  4.8923
787.8018 60.4452 34.7011  4.8537 60.4452 34.7011  4.8537
787.3016 60.7701 34.4139  4.8161 60.7701 34.4139  4.8161
786.8020 61.0888 34.1318  4.7794 61.0888 34.1318  4.7794
786.3031 61.4015 33.8547  4.7438 61.4015 33.8547  4.7438
785.8048 61.7083 33.5825  4.7092 61.7083 33.5825  4.7092
785.3072 62.0093 33.3153  4.6755 62.0093 33.3153  4.6755
784.8101 62.3045 33.0528  4.6427 62.3045 33.0528  4.6427
784.3137 62.5941 32.7950  4.6109 62.5941 32.7950  4.6109
783.8180 62.8782 32.5419  4.5799 62.8782 32.5419  4.5799
783.3228 63.1568 32.2933  4.5498 63.1568 32.2933  4.5498
782.8283 63.4302 32.0492  4.5206 63.4302 32.0492  4.5206
782.3344 63.6982 31.8095  4.4922 63.6982 31.8095  4.4922
781.8411 63.9612 31.5742  4.4647 63.9612 31.5742  4.4647
781.3485 64.2190 31.3431  4.4379 64.2190 31.3431  4.4379
780.8564 64.4719 31.1161  4.4119 64.4719 31.1161  4.4119
780.3650 64.7199 30.8933  4.3868 64.7199 30.8933  4.3868
779.8742 64.9631 30.6745  4.3623 64.9631 30.6745  4.3623
779.3840 65.2016 30.4598  4.3387 65.2016 30.4598  4.3387
778.8945 65.4354 30.2489  4.3157 65.4354 30.2489  4.3157
778.4055 65.6647 30.0418  4.2935 65.6647 30.0418  4.2935
777.9172 65.8894 29.8386  4.2720 65.8894 29.8386  4.2720
777.4295 66.1098 29.6390  4.2512 66.1098 29.6390  4.2512
776.9424 66.3259 29.4431  4.2310 66.3259 29.4431  4.2310
776.4559 66.5376 29.2508  4.2115 66.5376 29.2508  4.2115
775.9700 66.7452 29.0621  4.1927 66.7452 29.0621  4.1927
775.4847 66.9487 28.8768  4.1745 66.9487 28.8768  4.1745
775.0000 67.1481 28.6949  4.1570 67.1481 28.6949  4.1570
774.5159 67.3436 28.5164  4.1401 67.3436 28.5164  4.1401
774.0325 67.5351 28.3412  4.1237 67.5351 28.3412  4.1237
773.5496 67.7228 28.1692  4.1080 67.7228 28.1692  4.1080
773.0673 67.9067 28.0004  4.0929 67.9067 28.0004  4.0929
772.5857 68.0868 27.8348  4.0783 68.0868 27.8348  4.0783
772.1046 68.2633 27.6723  4.0644 68.2633 27.6723  4.0644
771.6241 68.4362 27.5128  4.0509 68.4362 27.5128  4.0509
771.1443 68.6056 27.3564  4.0381 68.6056 27.3564  4.0381
770.6650 68.7714 27.2028  4.0257 68.7714 27.2028  4.0257
770.1863 68.9338 27.0522  4.0139 68.9338 27.0522  4.0139
769.7083 69.0929 26.9045  4.0027 69.0929 26.9045  4.0027
769.2308 69.2486 26.7595  3.9919 69.2486 26.7595  3.9919
768.7539 69.4010 26.6173  3.9817 69.4010 26.6173  3.9817
768.2776 69.5502 26.4779  3.9719 69.5502 26.4779  3.9719
767.8019 69.6962 26.3411  3.9627 69.6962 26.3411  3.9627
767.3267 69.8391 26.2070  3.9539 69.8391 26.2070  3.9539
766.8522 69.9789 26.0755  3.9456 69.9789 26.0755  3.9456
766.3782 70.1157 25.9465  3.9378 70.1157 25.9465  3.9378
765.9049 70.2495 25.8201  3.9305 70.2495 25.8201  3.9305
765.4321 70.3803 25.6961  3.9236 70.3803 25.6961  3.9236
764.9599 70.5082 25.5746  3.9172 70.5082 25.5746  3.9172
764.4883 70.6333 25.4555  3.9112 70.6333 25.4555  3.9112
764.0173 70.7555 25.3388  3.9057 70.7555 25.3388  3.9057
763.5468 70.8749 25.2245  3.9006 70.8749 25.2245  3.9006
763.0769 70.9916 25.1124  3.8959 70.9916 25.1124  3.8959
762.6076 71.1056 25.0026  3.8917 71.1056 25.0026  3.8917
762.1389 71.2170 24.8951  3.8879 71.2170 24.8951  3.8879
761.6708 71.3256 24.7898  3.8845 71.3256 24.7898  3.8845
761.2032 71.4317 24.6867  3.8816 71.4317 24.6867  3.8816
760.7362 71.5353 24.5857  3.8790 71.5353 24.5857  3.8790
760.2698 71.6362 24.4869  3.8769 71.6362 24.4869  3.8769
759.8039 71.7347 24.3901  3.8751 71.7347 24.3901  3.8751
759.3386 71.8308 24.2955  3.8738 71.8308 24.2955  3.8738
758.8739 71.9243 24.2028  3.8728 71.9243 24.2028  3.8728
758.4098 72.0155 24.1122  3.8722 72.0155 24.1122  3.8722
757.9462 72.1043 24.0236  3.8721 72.1043 24.0236  3.8721
757.4832 72.1908 23.9369  3.8723 72.1908 23.9369  3.8723
757.0208 72.2749 23.8522  3.8729 72.2749 23.8522  3.8729
756.5589 72.3567 23.7694  3.8739 72.3567 23.7694  3.8739
756.0976 72.4363 23.6885  3.8752 72.4363 23.6885  3.8752
755.6368 72.5136 23.6094  3.8769 72.5136 23.6094  3.8769
755.1766 72.5887 23.5322  3.8790 72.5887 23.5322  3.8790
754.7170 72.6616 23.4569  3.8815 72.6616 23.4569  3.8815
754.2579 72.7324 23.3833  3.8843 72.7324 23.3833  3.8843
753.7994 72.8010 23.3115  3.8875 72.8010 23.3115  3.8875
753.3414 72.8674 23.2415  3.8911 72.8674 23.2415  3.8911
752.8840 72.9318 23.1732  3.8950 72.9318 23.1732  3.8950
752.4272 72.9941 23.1066  3.8993 72.9941 23.1066  3.8993
751.9709 73.0543 23.0418  3.9039 73.0543 23.0418  3.9039
751.5152 73.1125 22.9786  3.9089 73.1125 22.9786  3.9089
751.0600 73.1686 22.9171  3.9143 73.1686 22.9171  3.9143
750.6053 73.2228 22.8572  3.9200 73.2228 22.8572  3.9200
750.1512 73.2749 22.7990  3.9261 73.2749 22.7990  3.9261
749.6977 73.3251 22.7424  3.9325 73.3251 22.7424  3.9325
749.2447 73.3734 22.6874  3.9393 73.3734 22.6874  3.9393
748.7923 73.4196 22.6340  3.9464 73.4196 22.6340  3.9464
748.3404 73.4640 22.5821  3.9538 73.4640 22.5821  3.9538
747.8890 73.5065 22.5318  3.9617 73.5065 22.5318  3.9617
747.4382 73.5471 22.4831  3.9698 73.5471 22.4831  3.9698
746.9880 73.5858 22.4359  3.9784 73.5858 22.4359  3.9784
746.5382 73.6226 22.3902  3.9872 73.6226 22.3902  3.9872
